"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley","native_american_pct"
"Levy","FL","1,488","3.6%","$36,902","$102,761","41,057","1118","37","47.2","80.0%","8.9%","8.3%",,"81.6%","11.4%","20,216","20,841","2.0","82.2","20.3%","75.1%","11.3%","0.0%",
"Liberty","FL","436","5.1%","$39,436","$82,375","8,566","836","10","37.3","73.2%","17.8%","6.4%","0.7%","78.8%","12.8%","5,400","3,166","2.0","81.1","15.5%","74.6%","9.7%","4.7%",
"Madison","FL","728","3.8%","$31,000","$96,124","19,191","692","28","42.1","54.1%","38.5%","5.0%",,"82.5%","12.7%","10,079","9,112","2.0","82.6","26.1%","78.5%","9.6%","0.0%",
"Manatee","FL","45,783","12.2%","$51,748","$215,700","375,888","741","507","47.7","71.5%","8.7%","16.1%","1.9%","88.8%","27.7%","181,270","194,618","2.0","95.2","12.6%","78.8%","9.3%","1.0%",
"Marion","FL","26,861","7.7%","$39,383","$127,000","349,020","1579","221","48.6","70.9%","12.0%","12.5%","1.2%","86.5%","18.0%","168,449","180,571","2.0","85.3","17.6%","81.7%","8.0%","0.5%",
"Martin","FL","15,724","9.9%","$54,620","$257,300","158,701","556","286","51.5","78.7%","5.3%","13.4%","1.2%","90.5%","30.3%","78,291","80,410","2.0","91.7","11.1%","77.2%","10.2%","0.3%",
"Miami-Dade","FL","1,458,995","53.8%","$45,935","$265,200","2,712,945","1946","1394","39.9","13.6%","16.1%","67.7%","1.5%","81.2%","27.9%","1,315,759","1,397,186","2.0","110.1","18.3%","76.9%","9.1%","4.2%",
"Monroe","FL","14,853","18.8%","$65,717","$464,700","79,077","997","79","46.3","67.4%","6.6%","23.3%","1.2%","90.0%","33.4%","41,660","37,417","2.0","98.4","9.7%","67.8%","7.3%","2.2%",
"Nassau","FL","3,611","4.5%","$71,515","$223,100","80,622","652","124","45.2","87.2%","6.3%","4.0%","0.9%","91.9%","30.2%","38,905","41,717","2.0","89.4","10.6%","79.2%","9.1%","0.2%",
"Okaloosa","FL","13,844","6.9%","$60,026","$209,400","201,170","936","215","37.2","74.4%","9.7%","8.7%","2.8%","91.6%","30.5%","102,605","98,565","2.0","89.6","10.0%","83.2%","9.0%","0.3%",
"Okeechobee","FL","5,088","12.5%","$37,874","$107,621","40,760","774","53","40.7","62.9%","8.5%","25.9%","1.1%","71.6%","11.0%","22,026","18,734","2.0","80.9","23.1%","79.4%","12.3%","0.8%","0.6%"
"Orange","FL","295,675","22.5%","$51,335","$214,000","1,314,367","907","1448","34.9","41.3%","19.8%","30.5%","5.3%","86.8%","33.7%","646,317","668,050","2.0","92.8","16.6%","81.5%","9.2%","2.1%",
"Osceola","FL","57,911","17.2%","$51,436","$184,900","336,015","1322","254","35.6","33.6%","8.8%","52.3%","2.9%","86.9%","20.0%","163,661","172,354","2.0","92.1","14.8%","79.3%","11.1%","1.4%",
"Palm Beach","FL","354,765","24.6%","$57,580","$269,600","1,443,810","1974","731","44.7","55.8%","18.2%","21.5%","2.7%","87.4%","35.0%","698,414","745,396","2.0","101.8","12.5%","78.2%","10.0%","1.7%",
"Pasco","FL","44,825","8.7%","$46,264","$145,000","512,368","745","688","44.8","75.9%","5.1%","14.3%","2.4%","88.7%","23.0%","249,613","262,755","2.0","94.6","13.2%","76.8%","7.5%","0.3%",
"Pinellas","FL","110,276","11.5%","$50,036","$186,500","960,730","280","3432","48.0","74.5%","9.9%","9.3%","3.4%","90.5%","29.3%","460,325","500,405","2.0","95.4","13.3%","77.5%","8.5%","1.5%",
"Polk","FL","71,871","10.8%","$46,355","$135,300","666,149","1874","355","40.2","60.4%","14.6%","21.1%","1.9%","84.3%","20.1%","325,981","340,168","2.0","86.8","16.4%","82.8%","10.2%","0.4%",
"Putnam","FL","2,724","3.8%","$38,239","$83,700","72,277","722","100","45.3","71.3%","16.4%","9.9%","0.6%","79.4%","15.5%","36,698","35,579","2.0","81.8","19.9%","80.5%","9.7%","0.7%",
"Santa Rosa","FL","8,638","5.1%","$63,619","$189,100","170,497","1017","168","40.3","82.6%","6.1%","5.4%","2.0%","89.8%","27.5%","86,775","83,722","2.0","86.5","10.1%","79.4%","9.5%","0.1%","0.7%"
"Sarasota","FL","51,536","12.5%","$54,989","$235,600","412,569","572","722","55.5","83.2%","4.2%","8.9%","1.6%","92.9%","33.6%","197,570","214,999","2.0","95.8","10.6%","81.5%","8.2%","1.0%",
"Seminole","FL","58,518","12.8%","$61,311","$229,900","455,479","308","1478","39.2","62.0%","10.2%","20.4%","4.2%","94.2%","37.0%","219,626","235,853","2.0","92.4","11.7%","78.3%","8.6%","0.7%",
"St. Johns","FL","15,234","6.5%","$78,581","$296,100","235,087","609","386","43.0","83.5%","5.1%","6.4%","2.5%","95.7%","42.8%","115,221","119,866","2.0","90.4","7.6%","76.1%","8.0%","0.1%",
"St. Lucie","FL","52,679","17.2%","$44,804","$166,500","306,507","572","535","45.2","58.5%","19.3%","18.3%","2.0%","86.4%","20.6%","148,782","157,725","2.0","90.9","18.0%","74.8%","13.4%","0.4%",
"Sumter","FL","6,454","5.2%","$54,562","$249,500","123,996","546","227","67.3","84.3%","8.1%","5.8%","0.3%","91.7%","29.0%","61,477","62,519","2.0","86.6","9.9%","78.2%","7.7%","0.2%","0.3%"
"Suwannee","FL","2,654","5.9%","$39,310","$105,132","45,137","688","66","42.4","75.0%","13.5%","9.1%",,"78.8%","12.3%","22,195","22,942","2.0","82.1","20.8%","75.6%","14.9%","0.1%",
"Taylor","FL","686","2.9%","$37,645","$98,613","23,350","1042","22","41.8","71.8%","21.4%","3.6%","0.5%","78.4%","10.1%","12,997","10,353","2.0","81.7","13.5%","79.7%","15.6%",,"0.9%"
"Union","FL","467","3.0%","$39,292","$105,606","15,674","240","65","40.2","69.8%","22.2%","5.6%","0.5%","74.0%","7.8%","10,174","5,500","2.0","81.9","20.5%","83.9%","10.1%","0.3%",
"Volusia","FL","40,358","7.6%","$45,366","$162,700","529,364","1103","480","46.8","72.7%","9.8%","13.0%","1.8%","89.7%","24.1%","258,972","270,392","2.0","89.5","13.9%","79.8%","7.2%","1.0%","0.4%"
"Wakulla","FL","658","2.0%","$56,245","$155,861","32,379","607","53","40.7","78.7%","15.1%","3.8%","0.4%","87.5%","17.1%","18,067","14,312","2.0","82.9","13.1%","85.2%","5.6%","0.2%","0.5%"
"Walton","FL","3,538","5.4%","$56,246","$224,000","65,889","1058","62","44.9","83.9%","5.0%","6.1%","1.2%","86.6%","28.2%","34,195","31,694","2.0","84.8","11.8%","81.0%","9.9%","0.2%","0.6%"
"Washington","FL","714","2.8%","$39,866","$111,058","25,464","580","44","42.5","77.3%","15.8%","3.6%",,"79.4%","11.3%","13,879","11,585","2.0","82.4","18.8%","86.9%","6.9%","0.3%","0.8%"
