"county_name","state","foreign_born","foreign_born_pct","median_household_income","median_home_price","population","land_area","population_density","median_age","white_pct","black_pct","hispanic_pct","asian_pct","native_american_pct","hs_diploma","bs_degree","males","females","household_size","cost_of_living_index","poverty","transport_auto_alone","transport_carpool","transport_bus_trolley"
"Geneva","AL","443","1.7%","$37,742","$86,384","26,887","576","47","42.4","83.8%","9.6%","3.8%",,,"77.6%","12.0%","13,126","13,761","2.0","82.0","21.1%","82.4%","8.3%",
"Greene","AL","21","0.3%","$22,053","$72,181","8,626","646","13","41.7","16.9%","81.4%","0.6%",,,"76.8%","10.2%","4,109","4,517","2.0","82.3","35.2%","85.2%","4.9%","0.5%"
"Hale","AL","155","1.0%","$34,467","$94,757","15,228","644","24","40.1","39.6%","58.7%","1.2%",,,"81.3%","14.4%","7,150","8,078","2.0","81.9","24.1%","90.1%","4.2%","0.0%"
"Henry","AL","290","1.7%","$42,419","$107,900","17,265","562","31","43.6","68.2%","28.2%","2.6%",,,"80.8%","16.7%","8,335","8,930","2.0","82.4","14.2%","84.0%","5.6%","0.1%"
"Houston","AL","1,963","1.9%","$42,321","$126,800","104,056","580","179","39.5","66.9%","26.5%","3.2%","1.0%",,"84.0%","20.3%","50,015","54,041","2.0","82.3","20.0%","90.0%","5.9%","0.1%"
"Jackson","AL","1,173","2.2%","$39,708","$110,020","52,848","1079","49","43.2","89.3%","3.3%","2.8%",,"0.7%","79.5%","13.0%","25,870","26,978","2.0","82.7","17.5%","86.8%","8.2%","0.1%"
"Jefferson","AL","28,000","4.2%","$50,180","$152,000","659,521","1113","593","38.0","50.1%","42.3%","3.7%","1.3%",,"89.4%","32.9%","310,913","348,608","2.0","89.0","15.0%","85.5%","9.5%","0.8%"
"Lamar","AL","117","0.8%","$35,446","$75,360","14,130","605","23","44.8","85.9%","11.4%","1.5%",,,"77.4%","13.5%","6,841","7,289","2.0","81.0","22.2%","89.2%","8.2%","0.8%"
"Lauderdale","AL","2,483","2.7%","$43,427","$139,400","92,318","669","138","41.6","84.7%","9.9%","2.5%","0.7%",,"86.1%","21.8%","45,121","47,197","2.0","83.1","14.4%","89.4%","5.6%","0.3%"
"Lawrence","AL","240","0.7%","$43,756","$103,448","33,585","693","48","42.6","76.6%","11.5%","2.1%",,"4.8%","77.4%","10.6%","16,339","17,246","2.0","82.0","17.0%","86.5%","7.0%","0.2%"
"Lee","AL","8,515","5.4%","$48,056","$163,400","158,991","609","261","31.0","67.3%","23.3%","3.8%","3.8%",,"87.8%","35.7%","79,257","79,734","2.0","86.0","19.1%","82.2%","8.1%","0.9%"
"Limestone","AL","3,460","3.7%","$50,872","$151,500","92,753","568","163","38.8","77.1%","12.8%","5.9%","1.3%","0.6%","80.9%","22.3%","47,635","45,118","2.0","83.3","13.4%","85.7%","8.3%","0.1%"
"Lowndes","AL","31","0.3%","$28,848","$73,029","10,613","718","15","40.8","24.1%","75.0%",,,,"74.7%","12.6%","5,066","5,547","2.0","82.4","26.6%","78.7%","15.0%","0.7%"
"Macon","AL","219","1.1%","$33,474","$81,614","19,774","611","32","38.6","15.2%","81.7%","1.7%",,,"80.6%","20.7%","9,110","10,664","2.0","82.3","23.7%","80.1%","8.2%","0.6%"
"Madison","AL","19,163","5.4%","$60,503","$178,200","356,967","805","443","38.8","65.0%","24.4%","4.8%","2.3%","0.6%","90.3%","40.6%","174,569","182,398","2.0","84.8","14.1%","88.9%","6.6%",
"Marengo","AL","179","0.9%","$31,741","$93,167","20,157","977","21","42.6","45.0%","53.2%","1.0%",,,"83.8%","15.2%","9,472","10,685","2.0","82.5","25.8%","83.5%","8.3%","0.7%"
"Marion","AL","483","1.6%","$35,215","$90,623","30,377","741","41","44.4","91.9%","3.3%","2.5%",,,"79.9%","12.9%","15,020","15,357","2.0","81.9","17.3%","83.1%","10.9%","0.0%"
"Marshall","AL","5,210","5.5%","$42,362","$121,700","95,157","567","168","38.0","81.9%","2.1%","13.3%","0.6%",,"82.6%","16.4%","46,338","48,819","2.0","83.0","23.4%","85.4%","9.5%","0.3%"
"Mobile","AL","14,249","3.4%","$45,744","$126,800","414,836","1233","336","37.4","57.2%","35.5%","2.8%","2.0%","0.8%","86.6%","23.7%","197,818","217,018","2.0","85.3","19.4%","86.3%","6.3%","0.6%"
"Monroe","AL","43","0.2%","$29,125","$92,955","22,075","1026","22","41.9","54.3%","42.8%","0.6%",,"1.1%","82.1%","12.8%","10,565","11,510","2.0","82.7","29.8%","89.3%","5.9%",
"Montgomery","AL","10,598","4.7%","$45,395","$126,000","226,349","790","287","36.4","35.5%","56.9%","3.4%","2.4%",,"85.5%","31.8%","107,250","119,099","2.0","86.3","18.0%","85.6%","8.2%","0.3%"
"Morgan","AL","4,934","4.1%","$44,378","$123,500","119,012","582","204","40.7","76.2%","12.2%","8.0%","0.7%","0.5%","80.6%","19.7%","59,211","59,801","2.0","82.6","16.8%","89.1%","7.4%","0.0%"
"Perry","AL","36","0.4%","$25,746","$78,116","9,901","719","14","37.5","29.3%","68.9%","1.0%",,,"76.3%","15.0%","4,690","5,211","2.0","82.6","37.0%","79.7%","7.6%",
"Pickens","AL","308","1.5%","$32,739","$94,439","20,133","881","23","42.6","54.4%","42.2%","2.5%",,,"81.0%","11.4%","9,918","10,215","2.0","81.9","22.2%","80.2%","8.0%","0.6%"
"Pike","AL","1,278","3.8%","$34,304","$108,430","33,429","671","50","31.5","56.1%","37.7%","2.2%","2.3%","0.6%","80.3%","24.8%","15,931","17,498","2.0","83.3","23.9%","87.5%","6.3%","0.3%"
"Randolph","AL","356","1.6%","$38,751","$90,729","22,718","581","39","43.2","75.1%","19.4%","3.0%",,,"77.4%","15.9%","11,071","11,647","2.0","82.3","19.1%","82.2%","7.9%",
"Russell","AL","1,648","2.8%","$39,686","$120,831","58,904","641","92","35.2","48.3%","42.3%","5.2%","0.7%",,"82.7%","17.5%","28,638","30,266","2.0","85.1","20.0%","82.5%","8.5%","0.7%"
"Shelby","AL","10,304","4.9%","$73,647","$199,200","210,622","795","265","38.9","78.5%","11.7%","5.9%","2.1%",,"91.9%","42.0%","101,886","108,736","2.0","89.4","8.0%","84.8%","7.2%","0.1%"
"St. Clair","AL","1,268","1.4%","$60,158","$155,800","88,019","634","139","40.3","86.1%","9.5%","2.3%","0.9%",,"82.2%","17.4%","44,199","43,820","2.0","83.4","10.4%","81.8%","8.7%","0.1%"
"Sumter","AL","265","2.0%","$21,112","$77,798","13,345","905","15","36.9","24.2%","71.8%",,"3.0%",,"80.2%","18.7%","6,160","7,185","2.0","83.8","34.1%","84.7%","6.2%","0.5%"
"Talladega","AL","1,280","1.6%","$39,393","$95,200","80,103","740","108","40.8","63.1%","32.4%","2.2%","0.6%",,"81.4%","15.0%","39,813","40,290","2.0","83.0","16.6%","85.3%","8.9%","0.5%"
"Tallapoosa","AL","590","1.4%","$40,714","$111,504","41,145","718","57","43.4","68.7%","27.3%","2.5%","0.5%",,"79.7%","17.8%","19,476","21,669","2.0","82.5","21.7%","85.8%","8.9%","0.2%"
"Tuscaloosa","AL","7,493","3.6%","$47,787","$168,300","206,102","1324","156","32.9","62.5%","31.2%","3.4%","1.6%",,"89.1%","30.1%","99,017","107,085","2.0","87.6","17.8%","84.3%","9.6%","0.2%"
"Walker","AL","703","1.1%","$39,068","$89,100","64,967","794","82","41.8","89.4%","5.7%","2.3%",,,"78.9%","11.0%","32,091","32,876","2.0","82.4","21.7%","85.3%","10.5%","0.4%"
"Washington","AL","172","1.0%","$41,642","$85,960","16,986","1081","16","41.8","64.9%","25.1%","1.3%","0.7%","7.6%","79.6%","9.9%","8,424","8,562","2.0","82.0","20.1%","78.7%","15.7%","0.3%"
"Wilcox","AL","7","0.1%","$25,260","$86,490","11,169","889","13","40.6","27.1%","72.3%",,,,"79.7%","11.6%","5,384","5,785","2.0","82.7","32.4%","81.0%","12.5%","0.1%"
"Winston","AL","310","1.3%","$35,031","$82,356","24,122","614","39","44.6","94.2%",,"3.0%",,,"76.1%","13.5%","11,863","12,259","2.0","81.9","19.1%","81.2%","10.7%",
